Word           Frequency      Posting List   
but            12             [(1, 3974), (1, 4185), (1, 5012), (1, 6875), (1, 7274), (1, 11795), (2, 324), (2, 2442), (2, 3183), (2, 4429), (2, 6612), (2, 9087)]

by             31             [(1, 543), (1, 811), (1, 2409), (1, 2839), (1, 3859), (1, 4523), (1, 5423), (1, 5733), (1, 5998), (1, 6168), (1, 6190), (1, 6800), (1, 6932), (1, 10285), (1, 15055), (1, 15142), (2, 919), (2, 4699), (2, 5738), (2, 7522), (2, 9412), (2, 9513), (2, 9906), (2, 10087), (2, 10520), (2, 10859), (2, 11213), (2, 12771), (2, 15618), (2, 23346), (2, 26156)]

c              23             [(1, 6890), (1, 12915), (1, 12998), (1, 14246), (1, 15309), (1, 16527), (1, 17738), (1, 18114), (1, 18653), (1, 18944), (1, 19040), (2, 18377), (2, 18445), (2, 18463), (2, 18506), (2, 19660), (2, 20552), (2, 20845), (2, 22339), (2, 22401), (2, 22419), (2, 22458), (2, 24574)]

cab            1              [(1, 15629)]   

cabi           1              [(1, 16507)]   

caetano        1              [(2, 25769)]   

cahnrsnewswsuedu1              [(1, 13792)]   

cal            1              [(2, 25158)]   

calflora       1              [(1, 19814)]   

calif          1              [(2, 17516)]   

called         6              [(1, 2285), (1, 10061), (1, 11052), (2, 3569), (2, 6424), (2, 14801)]

callimusa      1              [(2, 27317)]   

cambridge      2              [(1, 12713), (2, 19865)]

camden         1              [(1, 14296)]   

campestris     2              [(2, 23237), (2, 23552)]

can            24             [(1, 793), (1, 6497), (1, 6782), (1, 7454), (1, 8189), (1, 8349), (1, 8453), (1, 8793), (1, 9532), (1, 9710), (1, 10116), (1, 11261), (1, 11322), (1, 11471), (1, 11836), (2, 1193), (2, 3697), (2, 7966), (2, 8061), (2, 9504), (2, 10505), (2, 10842), (2, 12679), (2, 12762)]

canada         1              [(1, 6658)]    

cancer         3              [(1, 10977), (1, 18350), (1, 18946)]

canned         1              [(1, 9717)]    

carbon         1              [(2, 10725)]   

carcinogenesis 1              [(1, 18271)]   

cardi          2              [(2, 18457), (2, 22413)]

care           1              [(2, 12230)]   

caribbean      5              [(2, 1479), (2, 1553), (2, 8265), (2, 8898), (2, 9331)]

carolina       2              [(1, 14907), (1, 16363)]

caroline       1              [(1, 12032)]   

carreel        2              [(2, 18379), (2, 22341)]

carrier        1              [(2, 10894)]   

carrying       1              [(2, 3073)]    

cass           1              [(2, 17778)]   

castle         1              [(2, 20849)]   

castleofspiritscom1              [(2, 25418)]   

castro         2              [(2, 25751), (2, 25875)]

catalyzes      1              [(1, 10628)]   

catch          1              [(1, 3765)]    

categories     2              [(1, 19881), (2, 27349)]

catherine      1              [(1, 13328)]   

cause          2              [(1, 11774), (1, 11840)]

caused         2              [(1, 4516), (2, 10080)]

causes         1              [(1, 11595)]   

causing        3              [(1, 3591), (1, 10686), (1, 11414)]

cavendish      8              [(2, 1594), (2, 9861), (2, 10006), (2, 11689), (2, 11888), (2, 12264), (2, 12364), (2, 23036)]

cell           1              [(1, 18311)]   

center         3              [(1, 2069), (1, 15827), (2, 5986)]

centered       1              [(2, 12164)]   

central        2              [(2, 1489), (2, 8275)]

centre         1              [(2, 2865)]    

centuries      1              [(2, 8335)]    

century        6              [(1, 2316), (1, 6005), (1, 12005), (1, 12242), (2, 7514), (2, 7529)]

certainly      1              [(2, 7696)]    

cf             2              [(1, 18142), (1, 19381)]

chabannes      2              [(2, 18640), (2, 22592)]

chambers       1              [(1, 8269)]    

chance         1              [(1, 6171)]    

chang          1              [(2, 27302)]   

change         1              [(2, 19614)]   

changed        1              [(2, 20737)]   

chanie         1              [(2, 21290)]   

chapter        2              [(1, 2751), (1, 13129)]

characteristics6              [(1, 661), (1, 4710), (1, 5828), (1, 6240), (2, 4759), (2, 4808)]

characterization2              [(1, 18864), (2, 19321)]

charcoal       1              [(2, 14922)]   

charles        1              [(2, 25483)]   

checklist      1              [(2, 18297)]   

cheesman       1              [(2, 4615)]    

chem           1              [(1, 18629)]   

chemie         1              [(2, 21433)]   

chemistry      5              [(2, 19081), (2, 19409), (2, 24041), (2, 24165), (2, 26051)]

chemopreventive2              [(1, 18229), (1, 18953)]

chenango       1              [(1, 8020)]    

chennai        3              [(2, 24402), (2, 24467), (2, 24534)]

chicago        1              [(2, 20349)]   

chilling       1              [(1, 16701)]   

china          4              [(1, 869), (1, 1735), (1, 9074), (2, 633)]

chinese        2              [(1, 19659), (2, 8002)]

chiquita       3              [(2, 5672), (2, 18746), (2, 21556)]

chloroplast    1              [(1, 13619)]   

christian      4              [(1, 1018), (1, 4224), (1, 14863), (2, 7719)]

christians     1              [(2, 20450)]   

christine      1              [(2, 24120)]   

chromosomes    1              [(2, 5239)]    

chun           1              [(1, 16308)]   

chuoi          1              [(2, 6444)]    

cider          1              [(1, 18486)]   

cirad          1              [(2, 26164)]   

cisternas      1              [(1, 14104)]   

citation       3              [(2, 9353), (2, 12274), (2, 12540)]

cite           1              [(2, 26201)]   

citrus         1              [(2, 20054)]   

cl             1              [(2, 22695)]   

clade          3              [(1, 131), (1, 137), (1, 143)]

claimed        1              [(1, 3519)]    

claiming       1              [(1, 3839)]    

clark          2              [(1, 13773), (1, 14940)]

classic        1              [(2, 6361)]    

classification 1              [(2, 4195)]    

classifications1              [(2, 5112)]    

classified     1              [(1, 6921)]    

claudine       1              [(2, 17356)]   

clemson        1              [(1, 16558)]   

climate        3              [(1, 16800), (2, 8823), (2, 9136)]

close          2              [(1, 6848), (1, 7461)]

cloth          1              [(2, 24774)]   

clothmaking    1              [(2, 15564)]   

cluster        2              [(2, 3544), (2, 3621)]

cnn            2              [(1, 19113), (2, 25639)]

co             3              [(1, 15283), (1, 16980), (2, 24072)]

coarsest       1              [(2, 15455)]   

coart          1              [(1, 13563)]   

coated         1              [(2, 11596)]   

coccinea       1              [(2, 1155)]    

coconut        1              [(2, 15920)]   

coldwinter     1              [(1, 16789)]   

coli           1              [(1, 17335)]   

colla          2              [(2, 4860), (2, 4882)]

collection     1              [(1, 4650)]    

college        1              [(1, 15433)]   

colombian      1              [(2, 19352)]   

colonists      1              [(2, 8356)]    

color          2              [(2, 305), (2, 7870)]

colorful       1              [(1, 5088)]    

colors         2              [(1, 5306), (2, 6259)]

colt           1              [(1, 16284)]   

combination    1              [(2, 8585)]    

come           3              [(2, 392), (2, 16261), (2, 16324)]

commerce       2              [(2, 6745), (2, 9894)]

commercial     5              [(1, 1579), (1, 5056), (1, 17153), (2, 11977), (2, 12135)]

commercially   4              [(1, 4966), (1, 5388), (1, 8169), (2, 3663)]

commission     3              [(1, 14478), (1, 16898), (1, 17649)]

committee      3              [(1, 10312), (1, 12624), (1, 12801)]

common         6              [(1, 2292), (1, 5185), (1, 5991), (1, 8832), (2, 1083), (2, 11659)]

commonly       5              [(1, 8250), (1, 12378), (2, 3742), (2, 9982), (2, 13154)]

communications 1              [(2, 23108)]   

communis       2              [(1, 187), (1, 12870)]

compacted      1              [(2, 2607)]    

company        1              [(1, 94)]      

comparative    1              [(1, 17867)]   

compatible     1              [(1, 6805)]    

compete        1              [(1, 5915)]    

complete       4              [(1, 2011), (1, 15236), (1, 15997), (2, 22782)]

components     1              [(1, 19011)]   

composition    1              [(1, 18830)]   

compositional  2              [(2, 19307), (2, 24213)]

compounds      3              [(1, 10519), (1, 10663), (2, 13325)]

compressed     1              [(2, 13661)]   

comprising     1              [(2, 3649)]    

con            1              [(2, 13787)]   

concentrations 1              [(1, 8290)]    

concise        1              [(2, 18039)]   

concludes      1              [(1, 2939)]    

conditions     2              [(1, 6590), (2, 9153)]

conference     1              [(1, 16112)]   

connection     2              [(1, 2541), (1, 2689)]

conservation   1              [(2, 22707)]   

conserve       1              [(1, 12834)]   

consider       1              [(1, 4046)]    

considered     1              [(1, 3622)]    

consortium     1              [(1, 1967)]    

constant       1              [(1, 6571)]    

constantine    1              [(2, 18167)]   

constituents   2              [(1, 9229), (2, 12913)]

constitute     1              [(2, 11422)]   

consumed       1              [(1, 9539)]    

consumers      1              [(1, 7709)]    

consumption    7              [(1, 1152), (1, 9356), (1, 9455), (1, 9803), (1, 11799), (2, 8993), (2, 9789)]

contain        3              [(1, 11693), (2, 13040), (2, 13095)]

contained      1              [(2, 9717)]    

containers     1              [(2, 14732)]   

containing     3              [(1, 9476), (1, 12520), (2, 14833)]

contains       1              [(1, 4670)]    

contents       2              [(1, 903), (2, 1346)]

contrast       1              [(2, 922)]     

contribution   1              [(1, 1903)]    

contributions  1              [(1, 6325)]    

contributor    1              [(2, 13360)]   

control        2              [(1, 17528), (1, 18322)]

controlled     1              [(1, 800)]     

conversion     1              [(1, 10201)]   

cooked         10             [(1, 9595), (1, 9908), (1, 11495), (2, 6166), (2, 6605), (2, 6910), (2, 7912), (2, 14148), (2, 14484), (2, 14876)]

cooking        17             [(1, 4945), (1, 11374), (2, 158), (2, 1832), (2, 5792), (2, 5873), (2, 5934), (2, 6191), (2, 6412), (2, 7157), (2, 13239), (2, 14786), (2, 18848), (2, 18874), (2, 18946), (2, 19009), (2, 19253)]

coolest        1              [(1, 8406)]    

cooper         1              [(1, 15202)]   

cooperative    1              [(1, 16372)]   

copper         1              [(2, 25945)]   

core           3              [(1, 9471), (1, 12480), (2, 14978)]

corinna        1              [(2, 17794)]   

corm           2              [(2, 2350), (2, 2951)]

cornell        1              [(1, 17784)]   

cornille       1              [(1, 13502)]   

corporate      2              [(2, 22147), (2, 22245)]

corporation    2              [(1, 17319), (2, 25138)]

correa         2              [(2, 18552), (2, 22504)]

correspond     1              [(2, 5654)]    

could          1              [(2, 11744)]   

countries      4              [(2, 909), (2, 1668), (2, 9120), (2, 11390)]

country        2              [(2, 10353), (2, 11106)]

county         1              [(1, 14360)]   

covering       1              [(1, 17177)]   

cox            1              [(1, 5501)]    

cr             1              [(2, 26595)]   

crabapple      1              [(1, 1745)]    

crabapples     1              [(1, 1819)]    

craft          1              [(2, 24870)]   

crc            4              [(1, 14752), (2, 17688), (2, 17760), (2, 24998)]

create         1              [(1, 5795)]    

crisp          1              [(1, 5016)]    

crop           6              [(1, 7864), (1, 14724), (2, 9260), (2, 9818), (2, 21230), (2, 23574)]

croplife       1              [(1, 18044)]   

crops          3              [(1, 6539), (1, 7769), (2, 9376)]

cross          1              [(2, 219)]     

crossing       1              [(1, 6206)]    

crozier        1              [(2, 23171)]   

csiro          1              [(1, 16983)]   

ct             1              [(1, 18201)]   

culinary       1              [(2, 27100)]   

cultivar       8              [(1, 4827), (1, 6773), (1, 6816), (1, 7829), (1, 7838), (2, 11680), (2, 23482), (2, 26829)]

cultivars      25             [(1, 687), (1, 1032), (1, 1536), (1, 4578), (1, 4850), (1, 4993), (1, 5229), (1, 5364), (1, 6116), (1, 6215), (1, 6897), (1, 7018), (1, 7077), (1, 7184), (1, 8330), (1, 9780), (1, 9926), (1, 10792), (2, 4503), (2, 5138), (2, 5185), (2, 5588), (2, 9932), (2, 18816), (2, 26573)]

cultivated     10             [(1, 2153), (1, 4917), (1, 6378), (1, 15599), (2, 4213), (2, 6032), (2, 8971), (2, 9595), (2, 19341), (2, 20043)]

cultivation    19             [(1, 1042), (1, 5538), (2, 1419), (2, 1437), (2, 1460), (2, 1523), (2, 1582), (2, 3300), (2, 6808), (2, 7227), (2, 7245), (2, 7342), (2, 8246), (2, 8868), (2, 9170), (2, 9572), (2, 10152), (2, 11781), (2, 11988)]

cultural       2              [(2, 1887), (2, 15905)]

culture        5              [(1, 976), (1, 2361), (2, 1815), (2, 13222), (2, 16939)]

cummins        1              [(1, 13094)]   

current        2              [(1, 1767), (2, 12303)]

curries        3              [(2, 13872), (2, 14137), (2, 14500)]

curry          1              [(2, 14225)]   

curtis         1              [(1, 16449)]   

curved         1              [(2, 353)]     

cut            1              [(2, 15168)]   

cyanogenic     1              [(1, 11906)]   

cycle          1              [(1, 18316)]   

cycles         1              [(1, 6044)]    

cyclopedia     1              [(2, 18122)]   

cyprus         1              [(2, 20484)]   

d              17             [(1, 6895), (1, 12917), (1, 13000), (1, 14698), (1, 16529), (1, 19042), (1, 19164), (2, 18609), (2, 18638), (2, 20847), (2, 22561), (2, 22590), (2, 23294), (2, 24111), (2, 25475), (2, 25767), (2, 26107)]

da             4              [(1, 18212), (2, 18436), (2, 21507), (2, 22392)]

dacca          1              [(2, 4987)]    

dale           1              [(2, 22845)]   

damage         1              [(1, 8686)]    

damninterestingcom1              [(2, 20868)]   

dan            2              [(2, 20699), (2, 25102)]

danger         1              [(2, 11620)]   

danh           1              [(2, 26793)]   

daniells       1              [(2, 26488)]   

darker         1              [(1, 10714)]   

database       4              [(1, 4661), (2, 22169), (2, 22267), (2, 23700)]

dates          1              [(1, 11994)]   

david          3              [(1, 16443), (1, 17017), (2, 20214)]

davidson       6              [(1, 2524), (1, 2659), (1, 2774), (1, 2930), (1, 14571), (1, 14632)]

day            5              [(1, 6939), (1, 12070), (1, 12293), (1, 12329), (2, 16774)]

daylight       1              [(2, 7666)]    

days           1              [(1, 14402)]   

dc             1              [(1, 18075)]   

de             6              [(1, 13585), (1, 18133), (1, 18157), (1, 18779), (2, 19470), (2, 19487)]

deadly         1              [(2, 12321)]   

deborah        1              [(1, 17455)]   

december       14             [(1, 13819), (1, 13911), (1, 15079), (1, 15170), (1, 15296), (1, 15709), (1, 17670), (1, 18078), (2, 17435), (2, 21091), (2, 22675), (2, 24643), (2, 24897), (2, 25289)]

declare        1              [(1, 3730)]    

decline        1              [(1, 6069)]    

deep           2              [(2, 2573), (2, 13510)]

degradation    1              [(1, 8500)]    

degrees        1              [(2, 15309)]   

delay          1              [(2, 21687)]   

deliberately   1              [(1, 6193)]    

delicious      2              [(1, 7996), (1, 8010)]

demain         1              [(2, 25282)]   

denham         1              [(2, 19631)]   

denoeud        2              [(2, 18348), (2, 22310)]

density        1              [(1, 7332)]    

department     4              [(1, 13995), (1, 17823), (2, 23656), (2, 25178)]

depending      3              [(1, 6756), (1, 7310), (2, 482)]

derived        3              [(1, 4205), (2, 5288), (2, 6500)]

dermatologic   1              [(2, 23820)]   

descend        1              [(2, 9620)]    

descent        1              [(2, 16855)]   

described      3              [(2, 3838), (2, 4689), (2, 5728)]

describing     1              [(2, 16826)]   

description    3              [(2, 1355), (2, 2024), (2, 5681)]

desf           1              [(1, 196)]     

designed       1              [(1, 7544)]    

desirable      1              [(2, 15524)]   

desire         1              [(1, 19331)]   

desired        2              [(1, 653), (1, 5028)]

dessert        10             [(1, 4886), (1, 9826), (2, 259), (2, 821), (2, 5853), (2, 6376), (2, 6701), (2, 7208), (2, 13979), (2, 19273)]

desserts       2              [(1, 9880), (2, 13764)]

destination    1              [(2, 10341)]   

destruction    1              [(2, 9400)]    

detect         1              [(2, 10598)]   

determination  1              [(1, 18437)]   

develop        3              [(1, 11331), (2, 3357), (2, 3495)]

developed      3              [(1, 5208), (2, 3216), (2, 15677)]

developing     2              [(2, 1657), (2, 11379)]

development    2              [(2, 8668), (2, 20098)]

develops       1              [(2, 3027)]    

dhont          1              [(2, 22302)]   

diagnosis      1              [(2, 23795)]   

dialogues      1              [(1, 15095)]   

dickson        1              [(1, 12555)]   

dictionary     3              [(2, 17227), (2, 17934), (2, 18047)]

didnt          1              [(2, 16419)]   

dies           1              [(2, 3178)]    

dietmar        1              [(2, 23934)]   

different      8              [(1, 677), (1, 5875), (1, 7784), (1, 12446), (2, 240), (2, 6522), (2, 6669), (2, 15885)]

differentiation1              [(2, 19229)]   

differing      1              [(2, 15362)]   

difficult      2              [(1, 7300), (2, 13626)]

diffused       1              [(2, 7584)]    

diffusion      1              [(2, 7388)]    

dim            1              [(1, 2992)]    

ding           1              [(2, 21137)]   

dioica         2              [(1, 339), (1, 12898)]

dioxide        1              [(2, 10732)]   

dips           1              [(2, 14476)]   

direction      2              [(2, 2157), (2, 2310)]

disasters      2              [(2, 1705), (2, 11489)]

discord        1              [(1, 3340)]    

discover       1              [(2, 17807)]   

discovered     2              [(2, 4546), (2, 11827)]

disease        10             [(1, 5166), (1, 5484), (1, 8904), (1, 8937), (1, 17520), (2, 1722), (2, 10232), (2, 12042), (2, 12343), (2, 12439)]

diseases       7              [(1, 1116), (1, 8646), (1, 8784), (1, 8960), (2, 1684), (2, 11468), (2, 11951)]

diseasespests  1              [(1, 8839)]    

disgruntled    1              [(1, 3355)]    

dish           1              [(2, 14033)]   

dishes         3              [(1, 9630), (2, 13753), (2, 13810)]

disposable     1              [(2, 14716)]   

diss           1              [(1, 16663)]   

distances      1              [(2, 10681)]   

distinct       2              [(2, 5772), (2, 7194)]

distinction    4              [(2, 705), (2, 996), (2, 6047), (2, 7064)]

distinguish    1              [(2, 6838)]    

distribution   1              [(1, 18699)]   

distributor    1              [(2, 5561)]    

diversity      5              [(1, 2079), (1, 13631), (2, 5996), (2, 11912), (2, 20006)]

divides        1              [(2, 5832)]    

divine         1              [(1, 14771)]   

division       1              [(1, 12971)]   

dj             1              [(1, 19509)]   

do             3              [(1, 5958), (2, 16388), (2, 16433)]

doctor         3              [(1, 12205), (1, 12300), (1, 12343)]

does           2              [(1, 11382), (2, 6089)]

domestica      5              [(1, 207), (1, 12849), (1, 13409), (1, 13750), (1, 19852)]

domesticated   1              [(2, 555)]     

dominique      1              [(2, 19113)]   

dont           2              [(2, 16045), (2, 16122)]

dorothea       1              [(2, 23959)]   

doses          1              [(1, 11830)]   

double         2              [(2, 7947), (2, 10990)]

douglas        1              [(1, 18384)]   

doutrelepont   1              [(2, 19912)]   

dover          1              [(1, 14223)]   

down           3              [(1, 11397), (2, 13483), (2, 16266)]

dr             1              [(2, 18179)]   

draft          1              [(2, 5393)]    

drainage       1              [(2, 2587)]    

dried          1              [(1, 9724)]    

driving        1              [(1, 10569)]   

droc           2              [(2, 18418), (2, 22376)]

drunk          1              [(1, 10044)]   

ds             1              [(1, 15227)]   

dubious        1              [(1, 8512)]    

duchess        1              [(1, 7944)]    

duda           1              [(2, 24631)]   

due            2              [(1, 10190), (2, 16906)]

dufour         1              [(2, 19106)]   

durance        1              [(2, 24095)]   

durham         1              [(1, 14900)]   

during         5              [(2, 7409), (2, 7615), (2, 13389), (2, 16763), (2, 21717)]

dv             4              [(1, 9192), (1, 9220), (2, 12882), (2, 12904)]

dwarf          1              [(1, 5967)]    

dwarfing       1              [(1, 7598)]    

díaz           1              [(2, 19216)]   

e              13             [(1, 12573), (1, 13002), (1, 13569), (1, 18562), (1, 19044), (1, 19578), (1, 19638), (2, 23185), (2, 23779), (2, 27078), (2, 27098), (2, 27134), (2, 27340)]

ea             1              [(2, 21612)]   

each           2              [(1, 7424), (2, 8187)]

earliest       2              [(1, 2133), (2, 8509)]

early          6              [(1, 2504), (1, 12254), (2, 1431), (2, 7239), (2, 19543), (2, 19836)]

earning        1              [(1, 12217)]   

ease           1              [(1, 5113)]    

easily         2              [(1, 9936), (2, 10591)]

east           2              [(2, 1563), (2, 9453)]

eat            2              [(1, 11475), (1, 12157)]

eaten          9              [(1, 9512), (1, 9770), (1, 12514), (2, 976), (2, 6236), (2, 6460), (2, 6721), (2, 6876), (2, 13504)]

eating         2              [(1, 744), (1, 4873)]

ebert          1              [(2, 21348)]   

ecol           1              [(1, 13764)]   

ecologically   1              [(2, 14694)]   

economically   1              [(2, 1267)]    

economy        1              [(2, 21527)]   

ecpgrcgiarorg  1              [(1, 15718)]   

ecuador        1              [(1, 6455)]    

ed             1              [(1, 13533)]   

edges          2              [(2, 2768), (2, 2894)]

edible         6              [(1, 110), (1, 9142), (1, 17679), (2, 189), (2, 11666), (2, 14596)]

edition        1              [(2, 21454)]   

editorial      1              [(1, 12614)]   

editors        1              [(1, 12737)]   

edmond         1              [(2, 19480)]   

edmonds        1              [(1, 15179)]   

eds            2              [(1, 17465), (2, 17372)]

effect         4              [(1, 11896), (2, 10835), (2, 18999), (2, 21974)]

effects        4              [(1, 1233), (1, 10830), (1, 11787), (1, 11973)]

efforts        1              [(1, 11625)]   

either         2              [(1, 6155), (2, 14449)]

elevitch       1              [(2, 26586)]   

elicited       1              [(2, 13582)]   

elizabeth      2              [(1, 12563), (1, 19097)]

ellis          4              [(1, 14565), (1, 14626), (1, 17432), (2, 20294)]

elongated      1              [(2, 339)]     

elsewhere      1              [(2, 7476)]    

elzebroek      1              [(1, 15569)]   

emerges        1              [(2, 3129)]    

emile          1              [(2, 22643)]   

emperor        1              [(2, 4124)]    

emphasis       1              [(2, 26546)]   

employed       1              [(2, 14774)]   

empty          2              [(2, 9494), (2, 12752)]

encased        1              [(2, 11541)]   

encyclopedia   6              [(1, 30), (1, 17092), (1, 17290), (2, 31), (2, 24014), (2, 24576)]

end            1              [(1, 1435)]    

energy         1              [(1, 14009)]   

engineering    3              [(1, 18922), (2, 24941), (2, 26039)]

england        1              [(1, 15659)]   

englberger     1              [(2, 19419)]   

english        2              [(1, 2454), (2, 4045)]

enochtheredwordpresscom1              [(2, 17870)]   

enset          1              [(2, 23314)]   

ensete         3              [(2, 1244), (2, 1290), (2, 23320)]

ensure         1              [(2, 15203)]   

entirely       1              [(2, 6513)]    

environmental  1              [(1, 17883)]   

environmentally1              [(2, 12686)]   

enzyme         1              [(2, 13463)]   

epigram        2              [(1, 3831), (1, 4080)]

epigrams       1              [(1, 15190)]   

erkek          1              [(2, 23773)]   

erler          1              [(1, 17547)]   

ernest         1              [(2, 4608)]    

error          1              [(2, 26206)]   

esmaeil        1              [(1, 16258)]   

especially     1              [(2, 747)]     

espino         1              [(2, 26811)]   

essay          1              [(1, 13382)]   

essentially    1              [(1, 4792)]    

et             7              [(1, 4327), (1, 13511), (1, 13861), (1, 17348), (2, 5748), (2, 6125), (2, 22604)]

ethylene       3              [(2, 10766), (2, 21644), (2, 22061)]

etymology      3              [(2, 1367), (2, 3945), (2, 17924)]

eu             1              [(1, 10292)]   

eucharist      1              [(1, 14890)]   

eureka         1              [(2, 17509)]   

europe         11             [(1, 2902), (1, 11042), (1, 14550), (1, 14611), (2, 778), (2, 5484), (2, 6334), (2, 6757), (2, 8469), (2, 11720), (2, 25270)]

european       3              [(1, 13707), (1, 18330), (1, 19775)]

evans          1              [(2, 25602)]   

eve            1              [(1, 4373)]    

even           5              [(1, 4024), (1, 5411), (1, 7141), (2, 10101), (2, 10804)]

eventually     1              [(2, 3115)]    

evil           1              [(1, 4313)]    

evolution      2              [(2, 12426), (2, 18702)]

evolved        1              [(1, 12271)]   

examining      1              [(2, 12474)]   

example        1              [(2, 15404)]   

excelsior      1              [(1, 6270)]    

except         1              [(1, 9412)]    

exceptional    1              [(2, 13181)]   

excluded       1              [(1, 3381)]    

exhibiting     1              [(2, 4734)]    

exist          1              [(1, 1546)]    

expense        1              [(2, 12618)]   

experiment     1              [(1, 6280)]    

experimental   1              [(2, 21754)]   

exploited      1              [(2, 10849)]   

export         5              [(2, 1539), (2, 1650), (2, 8884), (2, 10262), (2, 11069)]

exports        3              [(2, 882), (2, 10072), (2, 11316)]

exposed        1              [(2, 10486)]   

exposing       1              [(2, 12054)]   

exposure       1              [(1, 10174)]   

express        1              [(2, 20406)]   

expression     1              [(2, 13595)]   

extend         1              [(2, 10786)]   

extension      1              [(1, 16384)]   

external       4              [(1, 1320), (1, 19559), (2, 2009), (2, 27034)]

extinct        1              [(2, 10183)]   

extinction     1              [(2, 11639)]   

extracting     1              [(2, 13606)]   

extraction     2              [(1, 18534), (2, 25931)]

extracts       1              [(2, 15751)]   

extremely      2              [(1, 11814), (2, 11699)]

f              15             [(1, 13004), (1, 15149), (1, 18169), (1, 18606), (1, 19046), (1, 19435), (2, 18356), (2, 18375), (2, 18387), (2, 22318), (2, 22337), (2, 22349), (2, 23159), (2, 24211), (2, 25848)]

fa             1              [(1, 18124)]   

fabulae        1              [(1, 15022)]   

factoids       1              [(1, 16022)]   

factors        1              [(1, 6523)]    

fahlbusch      1              [(2, 23841)]   

fall           3              [(1, 4444), (1, 7952), (1, 15783)]

fallahi        2              [(1, 16266), (1, 16295)]

false          1              [(2, 2487)]    

families       2              [(2, 17500), (2, 18325)]

family         4              [(1, 155), (1, 14433), (2, 1339), (2, 8986)]

fao            2              [(2, 21484), (2, 26178)]

faostat        3              [(1, 12919), (2, 22178), (2, 22276)]

far            2              [(2, 6286), (2, 9909)]

farm           2              [(1, 15815), (2, 2377)]

farmers        2              [(1, 2324), (2, 7275)]

farming        1              [(2, 12027)]   

farms          2              [(1, 7652), (1, 15964)]

fasting        1              [(2, 7675)]    

fate           2              [(2, 11859), (2, 20714)]

favorable      1              [(2, 8831)]    

feature        1              [(2, 13704)]   

february       12             [(1, 16193), (1, 16989), (1, 18008), (1, 18027), (1, 18101), (2, 18765), (2, 22656), (2, 24330), (2, 24383), (2, 24515), (2, 25493), (2, 26192)]

fedai          1              [(1, 17553)]   

feedipedia     1              [(2, 26133)]   

fei            1              [(2, 6589)]    

female         2              [(2, 2183), (2, 16472)]

ferdman        1              [(1, 17936)]   

fern           1              [(1, 17418)]   

fernando       2              [(1, 14095), (2, 22948)]

fernández      1              [(2, 19196)]   

ferree         1              [(1, 16436)]   

ferreira       1              [(2, 25785)]   

fertility      1              [(1, 2708)]    

festivals      1              [(2, 16500)]   

fetch          1              [(2, 18912)]   

fiber          6              [(2, 1866), (2, 15045), (2, 15067), (2, 15644), (2, 15775), (2, 15807)]

fibers         3              [(2, 15291), (2, 15426), (2, 15513)]

field          1              [(2, 19673)]   

figure         1              [(1, 2961)]    

filipino       1              [(2, 13939)]   

filled         1              [(2, 10390)]   

financial      1              [(2, 20396)]   

find           1              [(1, 5318)]    

finger         1              [(2, 3772)]    

fingers        2              [(2, 8101), (2, 8179)]

firmness       1              [(2, 315)]     

first          7              [(1, 12396), (1, 16006), (2, 549), (2, 2804), (2, 4683), (2, 15240), (2, 23209)]

fit            1              [(1, 7556)]    

five           1              [(1, 14388)]   

fl             1              [(2, 17757)]   

flavor         3              [(1, 5218), (1, 5345), (2, 13382)]

flavors        1              [(2, 23982)]   

flavour        1              [(2, 24290)]   

flavours       1              [(2, 24257)]   

flesh          1              [(2, 370)]     

fleshy         1              [(2, 14552)]   

flexible       1              [(2, 14647)]   

flora          2              [(1, 12591), (1, 12634)]

flower         5              [(2, 1846), (2, 2220), (2, 3004), (2, 3433), (2, 14414)]

flowering      1              [(1, 16766)]   

flowers        4              [(2, 2121), (2, 2190), (2, 2274), (2, 15982)]

fluoresce      1              [(2, 10463)]   

fna            1              [(1, 12673)]   

follow         1              [(2, 5148)]    

