Word           Frequency      Posting List   
also           20             [(1, 1288), (1, 2668), (1, 4092), (1, 5563), (1, 6627), (1, 7072), (1, 8710), (1, 9372), (1, 9976), (1, 10404), (1, 11110), (1, 11326), (1, 12539), (2, 1066), (2, 1197), (2, 7261), (2, 7431), (2, 9182), (2, 13251), (2, 15013)]

alternative    2              [(1, 4762), (2, 5811)]

although       4              [(2, 6781), (2, 8476), (2, 10402), (2, 13133)]

altitudes      1              [(1, 6476)]    

always         1              [(2, 7187)]    

amandine       1              [(1, 13493)]   

ambient        1              [(2, 21876)]   

america        8              [(1, 535), (1, 12606), (1, 12649), (1, 13481), (2, 1507), (2, 5472), (2, 5646), (2, 8293)]

american       3              [(1, 13433), (1, 14424), (2, 8758)]

americas       4              [(2, 765), (2, 6348), (2, 6772), (2, 11735)]

amherst        1              [(1, 17382)]   

among          1              [(1, 8881)]    

amongst        1              [(1, 7560)]    

amounts        4              [(1, 11707), (1, 11746), (2, 12095), (2, 13112)]

amy            1              [(1, 16179)]   

an             30             [(1, 353), (1, 1415), (1, 1486), (1, 1613), (1, 1953), (1, 2831), (1, 3010), (1, 3690), (1, 3828), (1, 4141), (1, 5568), (1, 6651), (1, 9848), (1, 12059), (1, 12161), (1, 12282), (1, 12318), (1, 12471), (1, 12493), (1, 13379), (1, 14421), (2, 5808), (2, 8197), (2, 10885), (2, 13457), (2, 13460), (2, 17139), (2, 21641), (2, 22058), (2, 26529)]

ancestor       1              [(1, 430)]     

ancestors      2              [(1, 939), (1, 1635)]

ancient        1              [(1, 3636)]    

