Word           Frequency      Posting List   
although       4              [(2, 6203), (2, 7739), (2, 9453), (2, 11856)]

altitud        1              [(1, 5775)]    

alway          1              [(2, 6579)]    

amandin        1              [(1, 11925)]   

ambient        1              [(2, 19839)]   

america        11             [(1, 504), (1, 11246), (1, 11913), (2, 702), (2, 1380), (2, 5011), (2, 5174), (2, 5809), (2, 6195), (2, 7575), (2, 10654)]

american       3              [(1, 11869), (1, 12775), (2, 7974)]

amherst        1              [(1, 15444)]   

ami            1              [(1, 14379)]   

among          1              [(1, 7931)]    

amongst        1              [(1, 6751)]    

amount         4              [(1, 10434), (1, 10469), (2, 10960), (2, 11836)]

an             30             [(1, 335), (1, 1237), (1, 1304), (1, 1422), (1, 1723), (1, 2518), (1, 2682), (1, 3292), (1, 3407), (1, 3704), (1, 4976), (1, 5929), (1, 8773), (1, 10748), (1, 10843), (1, 10954), (1, 10989), (1, 11127), (1, 11148), (1, 11818), (1, 12772), (2, 5322), (2, 7487), (2, 9891), (2, 12149), (2, 12152), (2, 15500), (2, 19624), (2, 20007), (2, 24088)]

ancestor       3              [(1, 403), (1, 846), (1, 1443)]

ancient        1              [(1, 3242)]    

