Word           Frequency      Posting List   
c              23             [(1, 6143), (1, 11406), (1, 11473), (1, 12607), (1, 13594), (1, 14689), (1, 15767), (1, 16099), (1, 16583), (1, 16831), (1, 16913), (2, 16626), (2, 16693), (2, 16711), (2, 16753), (2, 17806), (2, 18623), (2, 18892), (2, 20244), (2, 20305), (2, 20323), (2, 20361), (2, 22299)]

cab            1              [(1, 13891)]   

cabi           1              [(1, 14672)]   

caetano        1              [(2, 23386)]   

cahnrsnewswsuedu1              [(1, 12205)]   

cal            1              [(2, 22816)]   

calflora       1              [(1, 17624)]   

calif          1              [(2, 15837)]   

call           6              [(1, 2026), (1, 8960), (1, 9847), (2, 3257), (2, 5879), (2, 13375)]

callimusa      1              [(2, 24815)]   

cambridg       1              [(2, 17998)]   

camden         1              [(1, 12654)]   

campestri      2              [(2, 21071), (2, 21353)]
